Account_Num,Loan_Type,Property_Type,Units,LTV,ARV,LTC,Interest_Rate,Monthly_Payment,Origination_Fee,Service_Fee,Location,Occupancy,Developmental_Stage,Repeat_Borrower,Credit_Score,Credit_Rating,Sponsor_Track_Record,Sponsor_Experience,Risk_Grade,Risk_Score,Status
1,Refinance,Residential,1,4.40%,0.00%,0.00%,10.00%,250,0.00%,0.00%,Urban,Hign,Stabilized,Yes,680-699,High Acceptable,$10-40 Million,Very Experienced,A+,5,1
2,Refinance,Residential,1,7.36%,0.00%,0.00%,12.00%,1500,1.00%,2.00%,Suburban,Hign,Stabilized,Yes,680-699,High Acceptable,$10-40 Million,Very Experienced,A+,7,1
3,Purchase,Residential,1,16.33%,7.27%,11.18%,12.00%,800,1.00%,2.00%,Suburban,Low,Ground Up,Yes,680-699,High Acceptable,$10-40 Million,Very Experienced,A,10,1
4,Refinance,Mixed Use,11,70.00%,0.00%,0.00%,12.00%,3430,2.00%,2.00%,Urban,Moderate,Value-Add,Yes,680-699,High Acceptable,$10-40 Million,Experienced,A+,12,1
5,Purchase,Residential,1,85.02%,50.55%,85.15%,12.00%,2780,2.00%,2.00%,Urban,Low,Value-Add,No,700-759,Good,$10-40 Million,Very Experienced,A+,11,1
6,Refinance,Residential,2,67.57%,0.00%,0.00%,12.00%,2500,0.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$10-40 Million,Very Experienced,A+,2,1
7,Purchase,Residential,2,80.00%,0.00%,76.99%,11.00%,4693.33,0.00%,1.00%,Urban,Low,Value-Add,Yes,700-759,Good,$10-40 Million,Very Experienced,B+,4,1
8,Purchase,Residential,3,80.81%,43.01%,80.81%,12.00%,2000,0.00%,2.00%,Urban,Low,Value-Add,Yes,650-679,Low Acceptable,$10-40 Million,Very Experienced,B+,13,1
9,Refinance,Residential,2,75.00%,0.00%,0.00%,11.00%,3575,1.00%,1.00%,Urban,Hign,Stabilized,No,650-679,Low Acceptable,$10-40 Million,Experienced,A-,12,1
10,Purchase,Residential,2,48.03%,40.67%,84.72%,12.00%,3050,2.00%,2.00%,Urban,Low,Value-Add,No,650-679,Low Acceptable,$10-40 Million,Very Experienced,A-,13,1
11,Purchase,Residential,1,14.29%,6.36%,9.78%,12.00%,700,2.00%,2.00%,Suburban,Low,Ground Up,Yes,680-699,High Acceptable,$10-40 Million,Very Experienced,A,10,1
12,Refinance,Residential,3,16.67%,0.00%,0.00%,13.00%,5416.67,3.00%,3.00%,Suburban,Low,Ground Up,No,680-699,High Acceptable,$10-40 Million,Very Experienced,A-,0,1
13,Purchase,Residential,1,64.50%,53.65%,80.09%,12.00%,1690,4.00%,2.00%,Suburban,Low,Value-Add,No,680-699,High Acceptable,$10-40 Million,Very Experienced,A-,13,1
14,Refinance,Residential,3,85.19%,25.09%,80.00%,12.00%,6900,1.00%,0.00%,Urban,Low,Value-Add,Yes,680-699,High Acceptable,$10-40 Million,Experienced,C+,14,1
15,Purchase,Residential,1,74.32%,57.89%,84.62%,12.00%,2200,0.00%,2.00%,Urban,Low,Value-Add,Yes,650-679,Low Acceptable,$10-40 Million,Very Experienced,A-,13,1
16,Purchase,Residential,1,69.52%,56.25%,63.34%,12.00%,1800,2.00%,2.00%,Suburban,Low,Value-Add,No,700-759,Good,$10-40 Million,Experienced,B+,14,1
17,Refinance,Mixed Use,3,56.52%,0.00%,0.00%,12.00%,6500,2.00%,2.00%,Urban,Moderate,Stabilized,Yes,700-759,Good,$10-40 Million,Experienced,A,8,1
18,Purchase,Residential,1,75.00%,0.00%,74.96%,11.00%,6600,1.00%,1.00%,Urban,Moderate,Stabilized,No,700-759,Good,$10-40 Million,Experienced,A+,3,1
19,Refinance,Residential,3,64.86%,0.00%,0.00%,12.00%,12000,2.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$10-40 Million,Experienced,A,11,1
20,Purchase,Residential,3,29.41%,0.00%,0.00%,12.00%,5000,0.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$10-40 Million,Very Experienced,A,7,1
21,Refinance(CEMA),Residential,1,51.72%,0.00%,0.00%,12.00%,7500,1.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$10-40 Million,Very Experienced,A,8,1
22,Purchase,Residential,1,20.41%,9.09%,13.97%,12.00%,1000,1.00%,2.00%,Suburban,Low,Ground Up,Yes,680-699,High Acceptable,$10-40 Million,Very Experienced,A,11,1
23,Purchase,Residential,1,45.67%,58.21%,97.01%,12.00%,1950,2.00%,2.00%,Suburban,Low,Value-Add,No,650-679,Low Acceptable,$10-40 Million,Experienced,B+,15,1
24,Purchase,Multi-Family,5,52.15%,0.00%,80.00%,12.00%,3520,2.00%,0.00%,Urban,Low,Value-Add,No,700-759,Good,< $10 Million,Experienced,A,11,1
25,Refinance,Residential,1,74.29%,0.00%,0.00%,12.00%,6500,2.00%,0.00%,Urban,Low,Value-Add,Yes,650-679,Low Acceptable,$10-40 Million,Experienced,B+,14,1
26,Purchase,Commercial,1,74.03%,0.00%,103.64%,12.00%,2850,2.00%,0.00%,Suburban,Low,Value-Add,Yes,700-759,Good,< $10 Million,Moderate Experience,B+,14,1
27,Purchase,Residential,1,70.00%,34.22%,80.00%,12.00%,15400,2.00%,2.00%,Urban,Low,Value-Add,Yes,650-679,Low Acceptable,$10-40 Million,Experienced,B+,14,1
28,Purchase,Residential,1,57.64%,37.65%,101.05%,10.00%,4000,2.00%,0.00%,Suburban,Low,Value-Add,No,680-699,High Acceptable,$10-40 Million,Moderate Experience,A-,12,1
29,Refinance,Commercial,1,77.78%,0.00%,0.00%,12.00%,3500,2.00%,0.00%,Rural,Low,Value-Add,Yes,650-679,Low Acceptable,$10-40 Million,Experienced,B,16,10
30,Refinance,Commercial,1,79.59%,0.00%,0.00%,12.00%,3900,2.00%,0.00%,Rural,Low,Stabilized,Yes,650-679,Low Acceptable,$10-40 Million,Experienced,B,16,1
31,Refinance,Commercial,1,34.95%,0.00%,0.00%,12.50%,37500,0.00%,0.00%,Suburban,Low,Value-Add,No,680-699,High Acceptable,$10-40 Million,Experienced,A,11,1
32,Refinance,Commercial,265,19.10%,0.00%,0.00%,15.00%,31250,4.00%,0.00%,Suburban,Low,Value-Add,No,680-699,High Acceptable,$10-40 Million,Experienced,A-,12,1
33,Refinance,Mixed Use,6,78.00%,0.00%,0.00%,12.00%,5850,2.00%,2.00%,Urban,Hign,Stabilized,Yes,700-759,Good,< $10 Million,Experienced,A,10,1
34,Purchase,Residential,1,83.33%,39.47%,57.36%,12.00%,15000,0.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$10-40 Million,Very Experienced,A,11,1
35,Purchase,Residential,1,79.17%,64.68%,80.00%,12.00%,7600,2.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$10-40 Million,Experienced,A-,12,1
36,Refinance,Residential,1,26.09%,0.00%,0.00%,12.00%,12000,1.00%,2.00%,Suburban,Hign,Stabilized,Yes,650-679,Low Acceptable,$10-40 Million,Experienced,A,11,1
37,Purchase,Residential,1,76.26%,0.00%,79.89%,12.00%,3020,1.00%,2.00%,Urban,Low,Value-Add,No,700-759,Good,$10-40 Million,Experienced,A-,13,1
38,Purchase,Residential,1,40.48%,0.00%,79.81%,12.00%,850,5.00%,2.00%,Urban,Low,Value-Add,No,650-679,Low Acceptable,< $10 Million,Moderate Experience,B-,17,1
