Account_Num,Loan_Type,Property_Type,Units,LTV,ARV,LT2,Interest_Rate,Monthly_Payment,Origination_Fee,Service_Fee,Location,Occupancy,Developmental_Stage,Repeat_Borrower,Credit_Score,Credit_Rating,Sponsor_Track_Record,Sponsor_Experience,Risk_Grade,Risk_Score,target
1,0,0,1,4.40,0.00,0.00,10.00,250,0.00,0.00,0,2,1,1,4,23,1,4,9,5,1
2,0,0,1,7.36,0.00,0.00,12.00,1500,1.00,2.00,1,2,1,1,4,23,1,4,9,7,1
3,1,0,1,16.33,7.27,11.18,12.00,800,1.00,2.00,1,0,2,1,4,23,1,4,8,10,1
4,0,1,11,70.00,0.00,0.00,12.00,3430,2.00,2.00,0,1,0,1,4,23,1,2,9,12,1
5,1,0,1,85.02,50.55,85.15,12.00,2780,2.00,2.00,0,0,0,0,5,4,1,4,9,11,1
6,0,0,2,67.57,0.00,0.00,12.00,2500,0.00,2.00,0,0,0,1,5,4,1,4,9,2,1
7,1,0,2,80.00,0.00,76.99,11.00,4693.33,0.00,1.00,0,0,0,1,5,4,1,4,6,4,1
8,1,0,3,80.81,43.01,80.81,12.00,2000,0.00,2.00,0,0,0,1,3,03,1,4,6,13,1
9,0,0,2,75.00,0.00,0.00,11.00,3575,1.00,1.00,0,2,1,0,3,03,1,2,8-,12,1
10,1,0,2,48.03,40.67,84.72,12.00,3050,2.00,2.00,0,0,0,0,3,03,1,4,8-,13,1
11,1,0,1,14.29,6.36,9.78,12.00,700,2.00,2.00,1,0,2,1,4,23,1,4,8,10,1
12,0,0,3,16.67,0.00,0.00,13.00,5416.67,3.00,3.00,1,0,2,0,4,23,1,4,8-,0,1
13,1,0,1,64.50,53.65,80.09,12.00,1690,4.00,2.00,1,0,0,0,4,23,1,4,8-,13,1
14,0,0,3,85.19,25.09,80.00,12.00,6900,1.00,0.00,0,0,0,1,4,23,1,2,3,14,1
15,1,0,1,74.32,57.89,84.62,12.00,2200,0.00,2.00,0,0,0,1,3,03,1,4,8-,13,1
16,1,0,1,69.52,56.25,63.34,12.00,1800,2.00,2.00,1,0,0,0,5,4,1,2,6,14,1
17,0,1,3,56.52,0.00,0.00,12.00,6500,2.00,2.00,0,1,1,1,5,4,1,2,8,8,1
18,1,0,1,75.00,0.00,74.96,11.00,6600,1.00,1.00,0,1,1,0,5,4,1,2,9,3,1
19,0,0,3,64.86,0.00,0.00,12.00,12000,2.00,2.00,0,0,0,1,5,4,1,2,8,11,1
20,1,0,3,29.41,0.00,0.00,12.00,5000,0.00,2.00,0,0,0,1,5,4,1,4,8,7,1
21,0,0,1,51.72,0.00,0.00,12.00,7500,1.00,2.00,0,0,0,1,5,4,1,4,8,8,1
22,1,0,1,20.41,9.09,13.97,12.00,1000,1.00,2.00,1,0,2,1,4,23,1,4,8,11,1
23,1,0,1,45.67,58.21,97.01,12.00,1950,2.00,2.00,1,0,0,0,3,03,1,2,6,15,1
24,1,2,5,52.15,0.00,80.00,12.00,3520,2.00,0.00,0,0,0,0,5,4,0,2,8,11,1
25,0,0,1,74.29,0.00,0.00,12.00,6500,2.00,0.00,0,0,0,1,3,03,1,2,6,14,1
26,1,3,1,74.03,0.00,103.64,12.00,2850,2.00,0.00,1,0,0,1,5,4,0,3,6,14,1
27,1,0,1,70.00,34.22,80.00,12.00,15400,2.00,2.00,0,0,0,1,3,03,1,2,6,14,1
28,1,0,1,57.64,37.65,101.05,10.00,4000,2.00,0.00,1,0,0,0,4,23,1,3,8-,12,1
29,0,3,1,77.78,0.00,0.00,12.00,3500,2.00,0.00,2,0,0,1,3,03,1,2,5,16,10
30,0,3,1,79.59,0.00,0.00,12.00,3900,2.00,0.00,2,0,1,1,3,03,1,2,5,16,1
31,0,3,1,34.95,0.00,0.00,12.50,37500,0.00,0.00,1,0,0,0,4,23,1,2,8,11,1
32,0,3,265,19.10,0.00,0.00,15.00,31250,4.00,0.00,1,0,0,0,4,23,1,2,8-,12,1
33,0,1,6,78.00,0.00,0.00,12.00,5850,2.00,2.00,0,2,1,1,5,4,0,2,8,10,1
34,1,0,1,83.33,39.47,57.36,12.00,15000,0.00,2.00,0,0,0,1,5,4,1,4,8,11,1
35,1,0,1,79.17,64.68,80.00,12.00,7600,2.00,2.00,0,0,0,1,5,4,1,2,8-,12,1
36,0,0,1,26.09,0.00,0.00,12.00,12000,1.00,2.00,1,2,1,1,3,03,1,2,8,11,1
37,1,0,1,76.26,0.00,79.89,12.00,3020,1.00,2.00,0,0,0,0,5,4,1,2,8-,13,1
38,1,0,1,40.48,0.00,79.81,12.00,850,5.00,2.00,0,0,0,0,3,03,0,3,5-,17,1
39,1,0,1,54.33,0.00,80.00,12.00,1820,1.00,2.00,0,0,0,0,5,4,1,2,8-,13,1
40,0,1,6,70.33,0.00,0.00,12.00,4220,2.00,2.00,0,2,1,1,4,23,0,2,8,11,1
41,0,1,6,69.23,0.00,0.00,12.00,4500,2.00,2.00,0,2,1,1,4,23,0,2,8,11,1
42,1,0,1,71.38,0.00,80.00,14.00,16240,3.00,2.00,1,0,0,0,5,4,0,1,5-,17,1
43,0,0,1,68.42,0.00,0.00,12.00,3250,0.00,2.00,1,0,1,1,5,4,1,2,8,10,1
44,0,0,3,50.00,0.00,0.00,12.00,9000,2.00,2.00,0,2,1,1,6,6,1,2,9,6,1
45,0,0,2,81.46,23.00,139.64,13.00,21179.17,1.25,2.00,0,0,0,1,3,1,1,2,5,16,1
46,1,0,1,53.33,0.00,44.44,12.00,1600,2.00,2.00,0,0,0,1,4,23,1,2,6,14,1
47,0,2,13,80.00,0.00,0.00,12.00,10800,2.00,2.00,0,2,1,1,4,23,1,2,8,11,1
48,0,0,1,16.19,0.00,0.00,13.00,2437.5,1.00,2.00,0,0,0,1,5,4,1,2,8,9,1
49,1,1,3,80.00,0.00,80.00,12.00,25600,2.50,2.00,0,2,1,0,3,03,1,2,8-,12,6
50,1,3,3,71.33,0.00,85.60,13.00,4636.67,2.00,2.00,0,0,0,0,4,23,0,1,3,18,1
51,0,0,1,3.48,0.00,0.00,12.00,1600,1.00,2.00,1,2,1,1,3,03,1,2,8,9,1
52,1,3,3,54.70,0.00,78.28,12.00,3750,2.00,2.00,1,0,0,0,4,23,1,2,8-,13,1
53,0,0,2,70.00,0.00,0.00,12.00,10500,2.00,2.00,0,0,0,0,3,03,0,2,6,15,1
54,1,0,1,78.57,62.86,128.00,13.00,19066.67,2.00,2.00,1,0,0,0,5,4,1,2,6,14,1
55,1,1,3,13.43,0.00,76.92,12.00,10000,2.00,2.00,0,0,2,1,6,6,1,2,8,9,1
56,1,3,1,59.15,0.00,131.25,12.00,21000,2.00,2.00,0,0,0,1,4,23,1,2,8,11,1
57,1,0,1,30.08,0.00,44.57,13.00,7821.67,2.00,2.00,0,0,0,1,3,03,1,2,8,11,1
58,1,0,1,50.00,0.00,140.19,12.00,15000,2.00,2.00,0,2,1,0,5,4,0,3,8,9,1
59,1,0,1,85.00,31.17,103.89,13.00,10129.17,1.25,2.00,0,0,0,1,3,03,1,2,8,11,1
60,1,0,3,20.12,33.09,105.51,13.00,9858.33,1.25,2.00,0,0,0,1,3,03,1,2,8,12,1
61,1,0,1,80.00,42.11,77.67,12.00,40000,1.00,2.00,0,0,0,1,5,4,2,4,8,10,1
62,1,0,1,31.74,16.71,30.82,12.00,15870,1.00,2.00,0,0,0,1,5,4,2,4,9,6,1
63,1,0,1,50.38,0.00,96.97,12.00,3200,2.00,2.00,1,0,0,0,5,4,0,2,8-,13,1
64,0,0,1,70.00,0.00,0.00,12.00,1400,2.00,2.00,1,2,1,1,5,4,0,2,8,11,1
